date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:07	289/289	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202017%2015:21:07%20GMT	http://dev.lorvent.com/robots.txt		(from )
17:21:08	73485/73485	---M-Z	200	added ('OK')	text/html	etag:%2211f0d-546d54189ef88-gzip%22	http://dev.lorvent.com/globals/Hosting/	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/index.html	(from )
17:21:08	1709/1709	---M--	200	added ('OK')	image/png	etag:%226ad-546d541890528%22	http://dev.lorvent.com/globals/Hosting/images/fevicon.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/fevicon.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:08	976/976	---M-Z	200	added ('OK')	text/css	etag:%223d0-536a0043a5d88-gzip%22	http://dev.lorvent.com/globals/Hosting/css/roboto.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/roboto.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:09	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-536a004399268-gzip%22	http://dev.lorvent.com/globals/Hosting/css/bootstrap.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/bootstrap.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:09	226360/226360	---M-Z	200	added ('OK')	text/css	etag:%2237438-536a00439f028-gzip%22	http://dev.lorvent.com/globals/Hosting/css/material.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/material.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:10	90809/90809	---M-Z	200	added ('OK')	text/css	etag:%22162b9-536a0043a1f08-gzip%22	http://dev.lorvent.com/globals/Hosting/css/bootstrap-material-design.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/bootstrap-material-design.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:10	1043/1043	---M-Z	200	added ('OK')	text/css	etag:%22413-536a0043982c8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/ripples.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/ripples.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:10	625/625	---M-Z	200	added ('OK')	text/css	etag:%22271-536a0043a5d88-gzip%22	http://dev.lorvent.com/globals/Hosting/css/material-design-icon.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/material-design-icon.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:10	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%226857-536a0043a1f08-gzip%22	http://dev.lorvent.com/globals/Hosting/css/font-awesome.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/font-awesome.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:12	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-536a004399268-gzip%22	http://dev.lorvent.com/globals/Hosting/css/owl-carousel/owl.carousel.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/owl-carousel/owl.carousel.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:12	1665/1665	---M-Z	200	added ('OK')	text/css	etag:%22681-536a004399268-gzip%22	http://dev.lorvent.com/globals/Hosting/css/owl-carousel/owl.theme.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/owl-carousel/owl.theme.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:12	26653/26653	---M-Z	200	added ('OK')	text/css	etag:%22681d-536a00439b1a8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/custom.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/custom.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:13	71678/71678	---M-Z	200	added ('OK')	text/css	etag:%22117fe-536a0043a6d28-gzip%22	http://dev.lorvent.com/globals/Hosting/css/revolution-slider/css/settings.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/revolution-slider/css/settings.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:14	60805/60805	---M-Z	200	added ('OK')	text/css	etag:%22ed85-536a0043a2ea8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/navigation.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/navigation.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:14	107252/107252	---M-Z	200	added ('OK')	text/css	etag:%221a2f4-536a0043a6d28-gzip%22	http://dev.lorvent.com/globals/Hosting/css/revolution-slider/layers.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/revolution-slider/layers.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:14	1721/1721	---M-Z	200	added ('OK')	text/css	etag:%226b9-536a0043a6d28-gzip%22	http://dev.lorvent.com/globals/Hosting/css/revolution-slider/style.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/revolution-slider/style.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:15	1443/1443	---M-Z	200	added ('OK')	text/css	etag:%225a3-536a0043a1f08-gzip%22	http://dev.lorvent.com/globals/Hosting/css/tooltip/html5tooltips.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/tooltip/html5tooltips.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:15	10149/10149	---M-Z	200	added ('OK')	text/css	etag:%2227a5-536a0043a1f08-gzip%22	http://dev.lorvent.com/globals/Hosting/css/tooltip/html5tooltips.animation.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/tooltip/html5tooltips.animation.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:16	70824/70824	---M-Z	200	added ('OK')	text/css	etag:%22114a8-536a0043a2ea8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/animate.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/animate.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:17	114257/114257	---M-Z	200	added ('OK')	text/css	etag:%221be51-536a0043a2ea8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/hosting.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/hosting.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:17	15091/15091	---M-Z	200	added ('OK')	text/css	etag:%223af3-536a004399268-gzip%22	http://dev.lorvent.com/globals/Hosting/css/select2.min.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/select2.min.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:18	1547/1547	---M-Z	200	added ('OK')	text/css	etag:%2260b-536a004399268-gzip%22	http://dev.lorvent.com/globals/Hosting/css/index.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/index.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:18	13668/13668	---M-Z	200	added ('OK')	text/css	etag:%223564-536a00439b1a8-gzip%22	http://dev.lorvent.com/globals/Hosting/css/responsive.css	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/css/responsive.css	(from http://dev.lorvent.com/globals/Hosting/)
17:21:19	11067/11067	---M--	200	added ('OK')	image/png	etag:%222b3b-546d541897288%22	http://dev.lorvent.com/globals/Hosting/images/left-menu/userprofile.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/left-menu/userprofile.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:19	51023/51023	---M-Z	200	added ('OK')	text/html	etag:%22c74f-536a00435c9a8-gzip%22	http://dev.lorvent.com/globals/Hosting/shared-hosting.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/shared-hosting.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:21	51976/51976	---M-Z	200	added ('OK')	text/html	etag:%22cb08-536a004391568-gzip%22	http://dev.lorvent.com/globals/Hosting/dedicated-server.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/dedicated-server.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:21	48759/48759	---M-Z	200	added ('OK')	text/html	etag:%22be77-536a0043a6d28-gzip%22	http://dev.lorvent.com/globals/Hosting/vps-hosting.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/vps-hosting.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:21	53787/53787	---M-Z	200	added ('OK')	text/html	etag:%22d21b-536a004391568-gzip%22	http://dev.lorvent.com/globals/Hosting/domains.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/domains.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:22	73485/73485	---M-Z	200	added ('OK')	text/html	etag:%2211f0d-546d54189ef88-gzip%22	http://dev.lorvent.com/globals/Hosting/index.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/index-2.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:22	67205/67205	---M-Z	200	added ('OK')	text/html	etag:%2210685-536a00435c9a8-gzip%22	http://dev.lorvent.com/globals/Hosting/about.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/about.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:22	76200/76200	---M-Z	200	added ('OK')	text/html	etag:%22129a8-536a00435d948-gzip%22	http://dev.lorvent.com/globals/Hosting/blog.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/blog.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:23	31957/31957	---M-Z	200	added ('OK')	text/html	etag:%227cd5-546d541888828-gzip%22	http://dev.lorvent.com/globals/Hosting/contacts.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/contacts.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:24	2570/2570	---M--	200	added ('OK')	image/png	etag:%22a0a-546d5418914c8%22	http://dev.lorvent.com/globals/Hosting/images/header/globals-logo.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/header/globals-logo.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:25	90748/90748	---M-Z	200	added ('OK')	text/html	etag:%221627c-536a0043a7cc8-gzip%22	http://dev.lorvent.com/globals/Hosting/styles.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/styles.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:26	24269/24269	---M-Z	200	added ('OK')	text/html	etag:%225ecd-536a00437dce8-gzip%22	http://dev.lorvent.com/globals/Hosting/login-form.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/login-form.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:26	25748/25748	---M-Z	200	added ('OK')	text/html	etag:%226494-536a00435c9a8-gzip%22	http://dev.lorvent.com/globals/Hosting/register-form.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/register-form.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:27	23768/23768	---M-Z	200	added ('OK')	text/html	etag:%225cd8-536a00437ec88-gzip%22	http://dev.lorvent.com/globals/Hosting/404-page1.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/404-page1.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:27	23686/23686	---M-Z	200	added ('OK')	text/html	etag:%225c86-536a0043a6d28-gzip%22	http://dev.lorvent.com/globals/Hosting/404-page2.html	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/404-page2.html	(from http://dev.lorvent.com/globals/Hosting/)
17:21:28	95/95	---M--	200	added ('OK')	image/png	etag:%225f-546d541890528%22	http://dev.lorvent.com/globals/Hosting/images/dummy.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/dummy.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:30	4053/4053	---M--	200	added ('OK')	image/png	etag:%22fd5-546d5418914c8%22	http://dev.lorvent.com/globals/Hosting/images/hosting-option/option1.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/hosting-option/option1.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:31	1962/1962	---M--	200	added ('OK')	image/png	etag:%227aa-546d541892468%22	http://dev.lorvent.com/globals/Hosting/images/hosting-option/option2.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/hosting-option/option2.png	(from http://dev.lorvent.com/globals/Hosting/)
17:21:31	1684/1684	---M--	200	added ('OK')	image/png	etag:%22694-546d541892468%22	http://dev.lorvent.com/globals/Hosting/images/hosting-option/option3.png	C:/down/Mohamed_Abo_Elmoaty/dev.lorvent.com/globals/Hosting/images/hosting-option/option3.png	(from http://dev.lorvent.com/globals/Hosting/)
